DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,DrawNumber
17-Aug-2022,26,37,48,45,20,30,33,5,Merlin,2781
13-Aug-2022,50,49,15,42,22,54,59,8,Merlin,2780
10-Aug-2022,24,52,6,40,47,21,30,8,Merlin,2779
06-Aug-2022,45,41,44,31,15,14,20,7,Arthur,2778
03-Aug-2022,25,53,29,5,28,58,15,7,Arthur,2777
30-Jul-2022,33,7,17,16,19,57,12,6,Arthur,2776
27-Jul-2022,14,37,39,38,1,11,54,6,Arthur,2775
23-Jul-2022,34,10,41,2,54,13,26,5,Merlin,2774
20-Jul-2022,36,33,12,32,14,17,9,5,Merlin,2773
16-Jul-2022,58,32,2,19,12,54,23,4,Merlin,2772
13-Jul-2022,12,59,39,13,42,19,10,4,Merlin,2771
09-Jul-2022,40,12,15,6,48,24,45,3,Arthur,2770
06-Jul-2022,44,25,9,54,36,41,48,3,Arthur,2769
02-Jul-2022,53,48,33,9,43,23,1,2,Arthur,2768
29-Jun-2022,26,3,17,21,46,59,39,2,Arthur,2767
25-Jun-2022,43,13,31,52,23,25,6,1,Merlin,2766
22-Jun-2022,54,21,40,48,36,46,38,1,Merlin,2765
18-Jun-2022,14,39,11,59,42,36,21,4,Merlin,2764
15-Jun-2022,53,3,41,37,38,26,36,4,Merlin,2763
11-Jun-2022,32,21,59,52,34,20,1,3,Arthur,2762
08-Jun-2022,25,53,58,11,23,38,52,3,Arthur,2761
04-Jun-2022,46,59,41,52,19,9,24,2,Arthur,2760
01-Jun-2022,32,4,30,38,1,6,18,2,Arthur,2759
28-May-2022,24,57,16,34,44,5,20,1,Guinevere,2758
25-May-2022,45,31,49,30,37,56,51,1,Guinevere,2757
21-May-2022,51,48,57,12,37,25,8,4,Lancelot,2756
18-May-2022,18,20,38,40,51,42,45,4,Lancelot,2755
14-May-2022,15,21,12,50,39,24,35,3,Lancelot,2754
11-May-2022,39,51,21,44,37,34,26,3,Lancelot,2753
07-May-2022,5,3,15,6,41,45,39,2,Guinevere,2752
04-May-2022,57,10,55,50,29,6,5,2,Guinevere,2751
30-Apr-2022,15,19,41,26,51,57,52,1,Guinevere,2750
27-Apr-2022,57,38,22,10,56,35,46,1,Guinevere,2749
23-Apr-2022,7,10,56,31,48,24,15,11,Lancelot,2748
20-Apr-2022,5,53,24,47,8,50,31,11,Lancelot,2747
16-Apr-2022,6,4,55,58,2,35,44,10,Lancelot,2746
13-Apr-2022,53,40,1,10,7,30,2,10,Lancelot,2745
09-Apr-2022,18,59,44,11,10,29,17,9,Guinevere,2744
06-Apr-2022,23,3,49,30,17,24,59,9,Guinevere,2743
02-Apr-2022,22,57,27,52,30,24,20,11,Guinevere,2742
30-Mar-2022,17,44,58,12,11,14,29,11,Guinevere,2741
26-Mar-2022,13,27,53,35,46,18,40,10,Lancelot,2740
23-Mar-2022,52,15,53,46,3,14,50,10,Lancelot,2739
19-Mar-2022,51,20,50,34,33,24,7,9,Lancelot,2738
16-Mar-2022,28,33,14,23,20,54,12,9,Lancelot,2737
12-Mar-2022,39,23,44,13,7,21,16,11,Guinevere,2736
09-Mar-2022,10,3,38,26,47,41,45,11,Guinevere,2735
05-Mar-2022,51,33,10,29,42,21,48,10,Guinevere,2734
02-Mar-2022,58,55,43,48,49,52,32,10,Guinevere,2733
26-Feb-2022,52,8,5,33,47,37,20,9,Lancelot,2732
23-Feb-2022,22,26,37,33,27,4,20,9,Lancelot,2731
